set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run2,0.875,0.875,0.75,0.75,1.0,1.0,0.913043478261
Run3,1.0,1.0,1.0,0.833333333333,0.9,1.0,0.95652173913
Run4,0.875,1.0,1.0,0.6,0.916666666667,1.0,0.913043478261
Run5,0.875,1.0,1.0,0.8,1.0,1.0,0.952380952381
Run6,1.0,1.0,1.0,0.666666666667,0.833333333333,1.0,0.916666666667
Run7,1.0,0.8,0.333333333333,1.0,1.0,1.0,0.909090909091
Run8,0.875,0.875,0.75,0.5,0.818181818182,1.0,0.826086956522
Run9,1.0,0.888888888889,0.75,1.0,1.0,1.0,0.95652173913
Run10,0.75,1.0,1.0,0.571428571429,0.8,0.888888888889,0.818181818182
Run11,1.0,0.888888888889,0.75,1.0,1.0,1.0,0.958333333333
Run12,0.75,0.857142857143,0.6,0.5,0.909090909091,0.909090909091,0.791666666667
Run13,0.75,0.857142857143,0.75,0.6,1.0,1.0,0.857142857143
Run14,0.875,1.0,1.0,0.666666666667,0.818181818182,0.9,0.869565217391
Run15,0.875,1.0,1.0,0.75,1.0,1.0,0.954545454545
Run16,0.75,1.0,1.0,0.571428571429,0.916666666667,1.0,0.875
Run17,0.875,1.0,1.0,0.6,0.916666666667,1.0,0.913043478261
Run18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run19,0.875,1.0,1.0,0.666666666667,0.916666666667,1.0,0.916666666667
Run20,1.0,0.8,0.5,1.0,1.0,1.0,0.913043478261
Run21,0.875,1.0,1.0,0.8,1.0,1.0,0.958333333333
Run22,1.0,0.888888888889,0.6,1.0,1.0,0.916666666667,0.916666666667
Run23,1.0,1.0,0.5,1.0,1.0,0.857142857143,0.916666666667
Run24,0.875,1.0,1.0,0.666666666667,0.909090909091,1.0,0.913043478261
Run25,0.75,0.857142857143,0.75,0.6,1.0,1.0,0.863636363636
set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.85,0.894736842105,0.9,0.782608695652,0.9,1.0,0.883333333333
Run2,0.475,0.703703703704,0.825,0.611111111111,0.975,1.0,0.758333333333
Run3,0.875,0.945945945946,0.95,0.863636363636,0.975,1.0,0.933333333333
Run4,0.725,0.90625,0.95,0.690909090909,0.775,0.939393939394,0.816666666667
Run5,0.85,1.0,0.975,0.847826086957,0.975,0.975,0.933333333333
Run6,0.925,0.948717948718,0.95,0.926829268293,1.0,1.0,0.958333333333
Run7,0.725,0.828571428571,0.85,0.755555555556,1.0,1.0,0.858333333333
Run8,0.85,0.85,0.825,0.846153846154,0.975,0.951219512195,0.883333333333
